,EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Eat
285,3,3,1,1,1,0,4,-1,False
286,-7,7,-1,-1,0,-4,-9,-2,False
287,1,4,2,1,1,0,-8,1,False
288,3,17,1,0,0,0,1,-5,False
289,5,2,-1,0,-1,-5,0,4,False
290,-1,0,-2,0,-1,0,1,-2,False
291,-6,-2,-4,-3,-2,-8,-23,-6,False
292,-17,-19,-4,-4,-2,3,11,-2,False
293,-9,-23,-4,-1,-1,3,15,1,False
294,-3,-6,1,0,1,2,3,1,False
295,-2,1,-1,-2,0,1,0,0,False
296,-6,-7,-2,-1,-2,-4,-3,-4,False
297,-1,0,1,0,0,-2,0,-2,False
298,0,2,-1,-1,-1,-13,-33,-1,False
299,-6,-7,-1,-1,0,0,2,1,False
300,8,4,-2,-2,-1,0,1,2,False
301,4,4,1,-1,0,4,13,1,False
302,-4,-19,-3,-1,-2,-5,1,1,False
303,-1,-2,1,0,-1,3,3,0,False
304,-1,2,0,-4,0,3,7,-1,False
305,-9,-4,-4,-2,-1,-1,4,-3,False
306,2,0,-1,0,0,0,-3,-2,False
307,-9,-11,-2,-1,0,3,8,-5,False
308,12,1,-2,-1,-1,-5,-12,-1,False
309,12,6,2,0,1,7,7,-1,False
310,-3,4,-1,0,-1,4,11,1,False
311,3,6,3,1,0,1,8,2,False
312,4,10,-1,-1,1,-3,-14,2,False
313,-2,1,-1,0,-2,-12,-26,1,False
314,-5,0,-2,0,-1,-1,8,0,False
315,2,3,-1,0,-1,0,4,1,False
316,-4,-1,-2,-1,-2,-1,-4,1,False
317,4,10,0,0,-1,-2,0,-2,False
318,-3,-4,-1,-1,1,1,-2,0,False
319,-7,-9,-1,0,-1,-7,-14,-6,False
320,-11,1,0,-1,-1,-3,-4,0,False
321,2,2,2,0,-1,0,5,8,False
322,-2,-5,-1,0,1,1,-5,-3,False
323,1,3,0,-1,-1,0,6,-2,False
324,6,10,-1,-2,-2,-2,1,1,False
325,-5,-2,-1,-1,-1,5,14,-1,False
326,-3,-8,-2,0,1,1,1,-3,False
327,-1,-2,1,0,-3,-6,-19,-4,False
328,-8,-2,-2,0,-1,1,5,0,False
329,7,3,-1,0,-1,1,2,2,False
330,-1,2,-1,-2,-1,1,11,-4,False
331,11,10,1,0,-1,-3,-4,1,False
332,11,2,1,0,1,-1,-5,1,False
333,-1,-8,-2,-3,-1,1,2,-1,False
334,4,1,-1,1,-1,1,6,2,False
335,-8,-8,-4,-1,2,3,11,-2,False
336,11,11,-1,-1,0,-2,-7,1,False
337,-4,-3,0,0,-1,-1,-3,0,False
338,-1,-4,-1,-1,-3,0,11,-1,False
339,4,1,0,1,0,1,4,0,False
340,3,-2,-1,-1,-1,-1,-11,3,False
341,-3,0,0,0,0,5,12,-2,False
342,-3,2,-1,-1,0,-3,-11,-3,False
343,3,-1,-2,0,0,-1,0,-3,False
344,-1,4,-2,-1,-1,0,-1,-4,False
345,-5,4,0,2,-1,-1,-2,-1,False
346,-4,-1,-2,0,1,-3,-3,-1,False
347,-16,-18,-4,-3,-3,-3,-20,-1,False
348,-8,3,-1,-1,0,2,5,-3,False
349,-10,-7,-2,-2,-1,-2,-8,-6,False
350,-6,-4,-1,0,0,-1,1,-4,False
351,7,15,1,0,1,8,28,1,False
352,-16,-27,-1,-1,-3,-16,-53,-1,False
353,2,-1,-1,0,0,1,6,2,False
354,2,-1,-2,2,-1,-3,-5,2,False
355,-7,-10,-2,-1,-4,0,-1,-1,False
356,12,11,1,-1,-1,-1,4,1,False
357,-19,-10,-3,-2,-3,-4,-9,-1,False
358,-7,-18,-4,0,0,1,10,0,False
359,5,2,1,-2,0,2,2,-4,False
360,9,6,0,-1,0,-5,-22,0,False
361,-6,-8,-1,-1,-2,0,5,-2,False
362,-6,-1,0,0,0,-4,-11,2,False
363,7,10,2,0,-1,-4,-7,2,False
364,-2,-10,0,-3,-1,-4,-4,-4,False
365,4,-2,-3,0,1,2,3,1,False
366,-8,-4,-2,-2,-1,-1,5,-4,False
367,-19,-32,-4,-2,-3,-11,-15,2,False
368,-3,0,0,-1,-1,-2,-5,-1,False
369,10,2,0,-1,1,1,4,1,False
370,11,-8,-1,0,-2,-1,-1,-1,False
371,-8,-13,-2,-2,-1,6,22,-3,False
372,-1,1,0,-1,0,0,1,1,False
373,-1,2,-1,1,1,-2,-2,-1,False
374,-6,-3,-3,-2,0,8,29,0,False
375,-1,6,1,-2,-2,-2,1,4,False
376,0,2,-2,1,-1,2,6,-1,False
377,4,11,0,-1,0,-3,-12,-2,False
378,-11,1,-2,-2,-1,-4,-9,-4,False
379,10,14,-2,0,-1,-1,-7,2,False
380,2,-1,-2,-1,-1,-2,-7,-1,False
